,node,strategy,action_vector,neighbors,degree,target,avail_letters,letters_needed,global_time,action_number,action,action_success,words_formed_bool,words_formed
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,there,"['f', 'l', 'm', 'i', 'j']",['e' 'h' 'r' 't'],1,1,form,False,0,0
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q']",['e' 'h' 'i' 'r' 't'],2,1,pass,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,about,"['b', 'm', 'h', 'n', 'g']",['a' 'o' 't' 'u'],3,1,pass,True,0,0
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,these,"['z', 's', 'u', 'f', 's', 'e']",['h' 't'],4,1,steal,True,0,0
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'f']",['e' 'h' 'r' 't'],5,1,think,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,write,"['e', 'x', 'x', 'j', 'r', 't']",['i' 'w'],6,1,steal,True,0,0
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,first,"['x', 'a', 'w', 'n', 'j']",['f' 'i' 'r' 's' 't'],7,1,pass,True,0,0
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,water,"['j', 'h', 'w', 'z', 'b']",['a' 'e' 'r' 't'],8,1,think,True,0,0
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n']",['e' 'f' 't'],9,1,steal,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,where,"['t', 'p', 'k', 'z', 'i']",['e' 'h' 'r' 'w'],10,1,form,False,0,0
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,there,"['f', 'l', 'm', 'i', 'j', 't', 'g']",['e' 'h' 'r'],11,2,steal,True,0,0
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'x']",['e' 'h' 'i' 'r'],12,2,steal,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,about,"['b', 'm', 'h', 'n', 'g']",['a' 'o' 't' 'u'],13,2,pass,True,0,0
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,these,"['z', 's', 'u', 'f', 's', 'e']",['h' 't'],14,2,pass,True,0,0
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'f', 'm']",['e' 'h' 'r' 't'],15,2,think,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,write,"['e', 'x', 'x', 'j', 'r', 't', 'w']",['i'],16,2,steal,True,0,0
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,first,"['x', 'a', 'w', 'n', 'j']",['f' 'i' 'r' 's' 't'],17,2,form,False,0,0
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,water,"['j', 'h', 'w', 'z', 'b']",['a' 'e' 'r' 't'],18,2,pass,True,0,0
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n']",['e' 'f' 't'],19,2,think,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,where,"['t', 'p', 'k', 'z', 'i', 'e']",['h' 'r' 'w'],20,2,steal,True,0,0
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,there,"['f', 'l', 'm', 'i', 'j', 't', 'h', 'g', 'z', 'z']",['e' 'r'],21,3,steal,True,0,0
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'x']",['e' 'h' 'i' 'r'],22,3,pass,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,about,"['b', 'm', 'h', 'n', 'g']",['a' 'o' 't' 'u'],23,3,pass,True,0,0
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,these,"['z', 's', 'u', 'f', 's', 'e', 'h']",['t'],24,3,steal,True,0,0
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'f', 'm', 'g']",['e' 'h' 'r' 't'],25,3,think,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,write,"['e', 'x', 'x', 'j', 'r', 't', 'w']",['i'],26,3,pass,True,0,0
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,first,"['x', 'a', 'w', 'n', 'j']",['f' 'i' 'r' 's' 't'],27,3,pass,True,0,0
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,water,"['j', 'h', 'w', 'z', 'b']",['a' 'e' 'r' 't'],28,3,think,True,0,0
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n']",['e' 'f' 't'],29,3,pass,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,where,"['t', 'p', 'k', 'z', 'i', 'e', 'h']",['r' 'w'],30,3,steal,True,0,0
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,there,"['f', 'l', 'm', 'i', 'j', 't', 'h', 'g', 'z', 'z', 'a', 'e']",['r'],31,4,think,True,0,0
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'x', 'n']",['e' 'h' 'i' 'r'],32,4,think,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,about,"['b', 'm', 'h', 'n', 'g']",['a' 'o' 't' 'u'],33,4,think,True,0,0
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,these,"['z', 's', 'u', 'f', 's', 'e', 'h', 'n']",['t'],34,4,pass,True,0,0
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'f', 'm', 'g']",['e' 'h' 'r' 't'],35,4,pass,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,write,"['e', 'x', 'x', 'j', 'r', 't', 'w', 'i']",[],36,4,steal,True,0,0
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,first,"['x', 'a', 'w', 'n', 'j']",['f' 'i' 'r' 's' 't'],37,4,think,True,0,0
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,water,"['j', 'h', 'w', 'z', 'b']",['a' 'e' 'r' 't'],38,4,pass,True,0,0
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n']",['e' 'f' 't'],39,4,form,False,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,where,"['t', 'p', 'k', 'z', 'i', 'e', 'h', 'r']",['w'],40,4,steal,True,0,0
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,there,"['f', 'l', 'm', 'i', 'j', 't', 'h', 'r', 'g', 'z', 'z', 'a', 'e', 's', 's']",[],41,5,steal,True,0,0
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'x', 'n', 'h']",['e' 'i' 'r'],42,5,think,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,about,"['b', 'm', 'h', 'n', 'g', 'a']",['o' 't' 'u'],43,5,steal,True,0,0
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,these,"['z', 's', 'u', 'f', 's', 'e', 'h', 'n']",['t'],44,5,think,True,0,0
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'f', 'm', 'g']",['e' 'h' 'r' 't'],45,5,pass,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,write,"['e', 'x', 'x', 'j', 'r', 't', 'w', 'i']",[],46,5,think,True,0,0
0,6,altruistic,[0.1 0.2 0.4 0.3],"[1, 7, 8, 9]",4,first,"['x', 'a', 'w', 'n', 'j']",['f' 'i' 'r' 's' 't'],47,5,pass,True,0,0
0,7,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 3, 5, 6]",5,water,"['j', 'h', 'w', 'z', 'b', 'r', 'a']",['e' 't'],48,5,steal,True,0,0
0,8,altruistic,[0.1 0.2 0.4 0.3],"[3, 6]",2,after,"['a', 'r', 'i', 'y', 'n']",['e' 'f' 't'],49,5,pass,True,0,0
0,9,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 5, 6]",4,where,"['t', 'p', 'k', 'z', 'i', 'e', 'h', 'r', 'w']",[],50,5,steal,True,0,0
0,0,selfish,[0.1 0.4 0.2 0.3],"[1, 2, 3, 4, 5, 7]",6,there,"['f', 'l', 'm', 'i', 'j', 't', 'h', 'r', 'g', 'z', 'z', 'a', 'e', 's', 's', 'k']",[],51,6,think,True,0,0
0,1,altruistic,[0.1 0.2 0.4 0.3],"[0, 4, 5, 6, 7, 9]",6,their,"['l', 'f', 'p', 'a', 'q', 't', 'x', 'n', 'h']",['e' 'i' 'r'],52,6,pass,True,0,0
0,2,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 9]",4,about,"['b', 'm', 'h', 'n', 'g', 'a']",['o' 't' 'u'],53,6,pass,True,0,0
0,3,selfish,[0.1 0.4 0.2 0.3],"[0, 4, 5, 7, 8]",5,these,"['z', 's', 'u', 'f', 's', 'e', 'h', 't', 'n', 'r']",[],54,6,steal,True,0,0
0,4,altruistic,[0.1 0.2 0.4 0.3],"[0, 1, 2, 3]",4,other,"['u', 'l', 'k', 'o', 's', 'r', 'f', 'm', 'g']",['e' 'h' 't'],55,6,steal,True,0,0
0,5,selfish,[0.1 0.4 0.2 0.3],"[0, 1, 2, 3, 7, 9]",6,write,"['e', 'x', 'x', 'j', 'r', 't', 'w', 'i', 'l']",[],56,6,steal,False,0,0
